ID,Manchu,English
566,mini morisa be ganabufi jurambi serede. h_lha siyan ioi se hab_afi.,"I had my horses fetched and was about to depart, when the rebel Xian Yu and others submitted a complaint."
567,tere geli nakaha. morin be adun de benebuhe.,"it was revoked again, and I had the horses sent back to the herd."
568,bi dzungdu dzai ioi r'ung-ni niowanggiyan tu coohai loosa h_lhaha baita be beidehe.,"I adjudicated a case of robbery against Loosa, of the Green Standard Troops of Governor-general Cai Yurong."
569,orin juwede beging de wesimbume feksihe.,On the twenty-second a fast courier was sent to Beijing to submit a memorial.
570,gulu suwayan-i gocika hiya udacan se bederefi,The Palace Guard of the Plain Yellow Banner Udacan and others came back
571,dele ambula urgunjembi. damu eb_eme ambasa be acaki sembi seme sain hese wasimbuha seme alaha.," A favorable edict was issued and told: ""The Emperor greatly rejoices and he only wishes to meet the high officials as soon as possible."""
572,beise jangtai. jiyangiy_n laita sasa juraki seme gisureme toktofi. meni morisa be selgiyefi ganabuha.,"it was decided that Beise Jangtai and General Laita would leave together, then an announcement was issued and we were ordered to fetch our horses."
573,siyan ioi se hab_ara jakade. geli jurara be nakafi. morin be adun de unggihe.,"Because of a complaint brought up by Xian Yu and others the departure was again revoked, and the horses sent back to the herd. "
574,geren gemu toktohon ak_ seme gasaha.,Everyone was angry that there was no fixed decision.
575,orin nadan de hebe acafi.,On the twenty-seventh a council was held
576,beise be uju meyen be gaifi.ice ninggude jura. dahaha h_lha de ninggun meyen de dendefi gamame. gemu jurambuha manggi. amba jiyangiy_n jak_ci meyen be gaifi. jurambi seme selgiyehe.,"it was announced: The Beise, at the head of the first squadron, will set out on the sixth. The surrendered rebels they should be divided among six squadrons and brought back. The Field Marshal will set out at the head of the eighth squadron after all these have left."
577,donjici beise be geli goci. laita mini beye uthai uju meyen be gaifi. jurambi seme girubuha sembi.,"I heard that the Beise was ashamed and said “Let us again withdraw, Laita and I should be departing immediately at the head of the first squadron.”"
578,juwe biyai ice ninggun de,On the sixth of the second month
579,bi aciha be dasatafi. g_sin isire morin be ilibufi. urgunjeme beise-i sasa y_n nan ci jurafi.,"I prepared my baggage, loaded it on more than thirty horses, and happily departed from Yunnan together with the Beise."
580,be _ang ban kiyoo de tataha.,We set up camp at Shangban Bridge.
581,tuwaci coohai gajiha hehe juse udu minggan bi.,One could see that the women and children taken by the soldiers were several thousands.
582,yang lin. i lung. ma lung be dulefi.,"passed Yanglin, Yilong, and Malong."
583,juwan de bi ajige guwan so ling dabagan de kungming. guwan so-i miyoo be tuwaha.,"On the tenth I saw, in the narrow mountain pass of Guansuoling, the Kongming and Guansuo temples."
584,kioi jing fu be dulefi.,passed the Qujing prefectural capital 
585,juwan juwe de giyoo sui jeo de bele gaiha,on the twelfth obtained rice in Jiaoshuizhou.
586,be sui i be dulefi. tofohonde ping i wei de muse bono aga be ucaraha.,"Passed Baishuiyi, on the fifteenth we encountered hail and rain in Pingyiwei."
587,i dzi kung be dulefi. juwan jak_nde muse giyang si po. dui miyan po-i ehe babe tulefi,"On the eighteenth, after we passed Yizikong, we left behind the treacherous roads of Jiangxipo and Duimianpo."
588,bi pu an jeo de ba siyan dung be tuwaka.,At Pu’anzhou I saw the Cave of the Eight Immortals.
589,muse san ban po. lo han sung po be wesime wasime,We climbed up and descended Sanban Slope and Luohangsong Slope.
590,orin de sin hing so de orin inenggi orho liyoo-i menggun be gaiha,"on the twentieth, in Xinxingsuo we received money for twenty-days’ worth of fodder and food."
591,orin emude narsai. duhen nimeme tutaha,On the twenty-first Narsai and Duhai fell ill.
592,bi g_sa be gaifi. an nan wei be dulefi.,"I was leading the Banner, and passed Annanwei."
593,orin juwe de liyan yun ceng-ni lo sui ula-i sele futai kiyoo efujefi.,On the twenty-second using iron ropes we built a bridge across the Lushui River at Lianyuncheng.
594,fukiyoo be doofi. tuwaci muke gocicibe haksan eyen turgen. ,"As we crossed the floating bridge, one could see that even though the water was receding, the precipitous current was fast."
595,jetere muke ak_ ofi. tangg_ be yabufi ting dzan de tataha.,"Since there was no drinking water, we marched 100 li and set up camp in Tingzan."
596,be geo ling. siyang bi ling dabagan be dulefi. orin juwede muse den nadan ba-i guwan so ling dabagan de yafahan tafafi. morilafi gi gung bei be dulefi.,"after crossing the mountain passes at Bogouling and the Xiangbiling, on the twenty-second, we climbed on foot the 7-li-high Guansuoling. Then we passed Jigongbei on horseback."
597,orin sunja de,On the twenty-fifth
598,muse an _un fude isinjifi. ilan inenggi indehe.,"we reached the prefectural city of Anshun, and rested for three days."
599,orin uy_n de ser sere aga de muse jurafi .,On the twenty-ninth we set out under a light rain.
600,bayara be beise gaifi gui jeo de morin ulebumbi.,The Beise led the bayara guards to Guizhou to feed the horses. 
601,aliha cooha be. ujen coohai g_sai ejen sijiyaboo. gung wehe gaifi. ping ba wei de ulebumbi seme. ,"The Hanjun Lieutenant-generals Xi Jiabao and Gong Weihei, in command of the cavalry, intended to feed Pingba Garrison."
602,tese wei de isinafi boo dendefi. orin inenggi orin sunja morin-i orho liyoo gaifi morin ulebuhe.,after they reached the Garrison they allocated the billets and gave twenty days’ worth of fodder for twenty-five horses; then the horses were fed. 
603,bi inenggidari tanggilame ali_ara be tokobuha,Every day I allowed worries to be released and hit 
604,y_n nan. gui jeo-i siden emu minggan jak_n tangg_ ba funcembi.,"Between Yunnanfu and Guizhou there are over 1,800 li."
605,jugun haksan hafirah_n,The roads are steep and narrow
606,alin dabagan labdu,there are many mountain peaks
607,irgen komso,the people are few
608,ilan biyai orin de,On the twentieth of the third month
609,muse an _un fude tehe.,we stayed at the prefectural city of Anshun.
610,musei ujun coohai meiren-i janggin lio hiyan jung. janggin hada. g_sin sunja cooha be gajime. ping ba wei de meni cooha de kamcime jihe,"Our Brigadier-general of the Hanjun Liu Xianzhong, and Captain Hada, together with thirty-five soldiers, came to join our troops at Pingba Garrison."
611,si an. mukden-i goloi cooha be facuh_n seme manju g_sa de kamcibuha.,"The troops from the provinces of Xi’an and Mukden were in disarray, and were therefore combined with the Manchu Banners."
612,orin juwede ping ba wei ci jurafi. ping i so. wei cing wei be dulefi.,"On the twenty-second we set out from Pingbawei, and passed Pingyisuo and Weiqingwei."
613,orin duin de muse gui yang fude isinafi.,On the twenty-fourth we reached Guiyang fu.
614,muse emu inenggi indehe,we rested for a day.
615,gui jeo-i babe tuwaci hafirah_n bime. irgen komso,"Looking at the localities in Guizhou, one can see that they are constricted, and the population is scarce."
616,miyoose tusy labdu. tacin umesi oshon ehe.,"There are many chieftains of the Miao, whose customs are cruel and wicked in the extreme."
617,orin ninggude muse jurafi. lung li wei. sin tiyan wei be dulefi.,"We set out on the twenty-sixth, and passed Longliwe and Xintianwei."
618,duin biyai ice ilade,On the third of the fourth month
619,ping yuwai fude isinafi,reached the prefectural city of Pingyue
620,jang san fung-ni miyoo be tuwaha.,saw the temple of Zhangsanfeng.
621,ice sunja de muse cing ping hiyan-i alin-i holo de tatafi,On the fifth we camped in a mountain valley in Qingping county
622,dobori gaitai amba aga hungkereme agafi.,During the night suddenly a heavy rain poured in great quantity.
623,alin-i muke wasinjifi.,The mountain torrents came flowing down
624,maikan be tobgiya gese muke birefi.,water rushed into the tents up to the knees.
625,mini etuku. bele. jibehun sisehe gemu muke ci sekiyeme gaifi. usihiyere jakade. muse juwe inenggi indefi. tuwa de walgiyame olhobuha.,"I took my clothes, food, quilt, and mattress out of the water all dripping, and since everything was wet, we rested for two days and dried by lighting fires."
626,ice jak_n de muse cung an giyan be doofi. hing lung wei de. fei yun dung be tuwaha.,"On the eighth we forded the Zhong’an River, and saw the Cave of Flying Clouds in Xinglongwei."
627,ice uy_n de muse piyan kiyoo de isinafi. huguwang-ni jecen de dosika.,On the ninth we reached a slanting bridge and entered the provincial border at Huguang. 
628,morin de tahan belheheku ofi doho_ome ,"Because no horseshoes had been fitted on the horses, they were limping."
629,juwan emude muse jen yuwan fude isinafi. juwe inenggi indehe.,"On the eleventh we reached Zhenyuan fu, and rested for two days."
630,juwan ilade muse cen ho birai fukiyaoo be doofi. cing lang wei. ping ki wei. huwang jeo be dulefi.,"On the thirteenth, we crossed a pontoon bridge on the Chenhe River, and passed Qinglangwei, Pingqiwei, and Huangzhou."
631,orin de ineku cen ho-i fu kiyoo be muse doofi.,On the twentieth we crossed pontoon bridge on the same Chenhe River.
632,orin emude muse biyan sui i be dulefi. geli cen ho birai fu kiyoo be dooha.,"On the twenty-first we passed Biansuiyi, and again crossed a pontoon bridge on the Chenhe River."
633,orin juwe de muse yuwan jeo fude isinjifi. juwan inenggi indehe.,On the twenty-second we reached the prefectural city of Yuanzhou and rested for ten days. 
634,morin-i wahan wehe de nijarabufi jakanafi. niyaki tucime ambula waliyaha.,"Because the horses’ hooves had been grinding on the rocky terrain, they had cracked open, pus was oozing out, and many died."
635,gui jeo. hunan-i yuwan jeo-i siden. nadan tangg_ dehi funcere ba bi.,"Between Guizhou and Yuanzhou, in Hunan province, there is a distance of over 740 li."
636,lifak_ bime. wehe jug_n hon ehe.,The swampy and rocky terrain make the road extremely difficult.
637,sunja biyai ice ilade,On the third of the fifth month
638,beise jak_n g_sa de. juwe tangg_ cuwan dendeme bufi.,the Beise distributed 200 boats to the Eight Banners.
639,tere olhon de genere hontoho cooha. cuwan bahara niyalma muke be genekini seme selgiyehe.,"He ordered half of the troops to proceed by land, and those who had been given the boats to travel by river."
640,beise. booi niru. ambasa cuwan eleme gaifi turime. ,"The Beise, bondservant company, and high officials obtained boats in surplus and rented them out."
641,janggin cooha ambula cuwan turifi muke be juraka.,Officers and soldiers hired a great number of boats and set off by water.
642,tere geli araha gabsihiyan-i galai amban sakca. ujen coohai meiren-i janggin dzu jy cun. lio hiyan jung olhon de. uheri be kadalame. ice nadan de jurambi seme selgiyehe.,He also ordered that the Commissioned Commandant of the Vanguard Sakca and the Brigadier-generals of the Hanjun Zu Zhiqun and Liu Xianzhong fully supervise the land routes and set out on the seventh
643,ice sunja de. bi ilan cuwan baifi. cuwan giyan be jurafi.,"On the fifth, I found three boats and set off by river."
644,wasih_n muke eyen turgen,The downstream current was very fast
645,cuwan geri gerimeme. deyere gese ilan tangg_ babe yabufi iliha.,"the boats, moving at dazzling speed as if flying, covered 300 li before stopping."
646,ice ninggude inu ilan tangg_ ba yabufi. kiyan yang hiyan be dulefi. po _i sere amba ga_an de ilifi. lung cuwan-i efire be tuwaha.,"On the sixth I proceeded for another 300 li, passed Qianyang county, and stopped at a large village called Poshi, where we saw a Dragon Boat play."
647,ice nadan de mukei eyen hahi,On the seventh the river current was fast
648,tan bi seme sengguweme. bi emu tangg_ orin babe yabufi. cen jeo de iliha.,I was afraid there might be shoals and covered 120 li and then stopped in Chenzhou.
649,ice jak_n de muse emu tangg_ jak_nju ba yabufi iliha.,On the eighth we stopped after 180 li.
650,tuwaci alin-i fiyeleku hada den dehi da funcembi.,"Observing, the mountains’ cliffs and peaks, they were over 40 da high."
651,monio efime. hadai fiyeleku de irgen moo sisime giyaselame araha boo. cibin-i feye adali sabumbi.,"The monkeys were playing and, on top of the cliffs, the houses of the people, made by making frames of wooden sticks, looked like swallow nests."
652,ice uy_n de muse mu tangg_ jak_nju ba yabufi,On the ninth we proceeded for 180 li
653,cang de fude isinjifi . cuwan halame ilan inenggi indehe,"reached the prefectural city of Changde, and rested for three days in order to change the boats"
654,bi ubu-i ice cuwan gaiha ak_.,I did not obtain a share of new boats.
655,juwan ilan de muse jurafi,We set off on the thirteenth
656,nio pi tan. lao hu tan. cing lang tan-i jergi gelecuke tan de. mukei boljon calgime. cuwan de muke dosime. cuwan haidarafi yabume arkan dulembi.,"In places like Bull’s Nose Shoal, Tiger Shoal, Blue Wolf Shoal, and other frightful shoals, as the waves lapped and water splashed into the boats, the boats leaned on one side, and got through with geat difficulties."
657,tofohon de muse jan mao ma gin hu be dulefi. wesihun mukei birai angga de iliha,"On the fifteenth we passed the Zhanmaomajin Lake, and going upstream we stopped at the mouth of a river."
658,juwan nadan de seng _i amba jen-i ga_an be dulefi. kiyan futa cuwan be u_ame,"On the seventeenth, after we passed the large garrison-village of Sengshi, we had to pull boats with towropes."
659,orin de ijishun edun be bahafi. pen tatafi ging jeo fu-i hu du keo de iliha,"On the twentieth there was a mild breeze, so we spread out a sail cloth, and reached Hudukou, in Jingzhou Fu."
660,orin emude ging jeo-i guwali-i siyoo giya wan de iliha.,"On the twenty-first we stopped at Xiaojiawan, in the suburbs of Jingzhou. "
661,tuwaci musei coohai boo musei coohai tatan. manju booi adali uce fa sindahabi.,"Looking at them, our troops’ dwellings and army tents were fitted with doors and windows, just like Manchu houses."
662,orin juwe de dzoo _i de bi boo dendefi tehe.,On the twenty-second lodgings were assigned and I stayed in Caoshi. 
663,booci hadafun. sandari okdoho. ,Hadafun and Sandari came from home to greet
664,bi mancang be tak_rafi ama eniyei elhe be fonjime unggihe.,I sent Mancang to inquire about the health of my father and mother.
665,ging jeo. yuwan jeo-i siden muke hahi bime. hargi turgen. ambula sengguwecuke.,"The currents between Jingzhou and Yuanzhou are strong, and the fast rapids are terribly frightening."
666,wasih_n muke eme minggan ninggun tangg_ susai ba funcembi.,"The water flows downstream for over 1,650 li."
667,inenggidari efime sain jaka jeme. bi damu boode genembi seme urgunjembi.,"Playing every day, eating good food, I rejoiced to be just going back home."
668,ninggun biyai orin de ashan-i da foron wesimbufi. coohai edelehe juwan ilan biyai ciyanliyang. duin biyai orho liyoo be faitaha turgunde jak_n g_sai gabsihiyan bayara. aliha cooha gemu beise de hab_aha.,"On the twentieth of the sixth month, after a memorial submitted by the Sub-Chancellor of the Grand Secretariat Foron, because the soldiers’ overdue salary of thirteen months and forage payment of four months were forfeited, the Eight Banners’ Vanguard, Guards and Cavalry regiments all complained to the Beise."
669,orin ninggude g_sai ejen mujan jai meyen-i cooha. h_lhai hehe juse be werifi. h_lhai hafan be teile be gaifi. gingjeo fude isinjiha.,"On the twenty-sixth Lieutenant-general Mujan and the soldiers of the squadron left the wives and children of the rebels, and only brought rebel officials back and reached JingZhou Fu."
670,orin jak_n de giyang-ni muke biltefi. huwang tan dalan efujefi,"On the twenty-eighth the river overflowed, the dam at Huangtan broke"
671,giyang ling. miyang yang. ciyang giyang ilan hiyan-i ba. tangg_ ba onco. ninggun tangg_ ba golmin. muke be birebufi. ,"the territory of the three counties of Jiangling, Mianyang, and Qianjiang was flooded over an area 100-li wide and 600-li long."
672,dzoo _i ga_an yooni muke de gaibuha.,The village of Caoshi was completely flushed away by the water.
673,bi jidere muke be den bade genefi tuwaci huwanggar seme. alin-i gese den mukdefi. ilan da den ajige dalan be dartai birefi.,"I had moved to a higher spot, and could observe how the incoming water rose with a thundering noise as high as a mountain, then suddenly smashed against the only 3 da high small dam. "
674,meni tehe boo gemu mukede gaibuhabi.,The houses where we had been staying were all swept away by the water. 
675,kubuhe lamun gemu cuwan jafafi. aciha tebufi. tehe boo mukede gaibuha turgun be bi beise de alafi.,"After the Bordered Blue Banner got hold of all the boats, and luggage had been loaded, I told the Beise how the houses where we were billeted had been destroyed by the flood."
676,tere amargi guwali-i loosa turire diyan-i irgen-i boo be gaifi gurifi tataha,"he took the houses of innkeepers that Loosa had rented in the northern suburbs, and after they moved we lodged there."
677,nadan biyai ice juwe de,On the second of the seventh month
678,amba jiyangiy_n laita. jak_ci meyen-i cooha. g_sai ejen hife sei ilaci meyen-i cooha. h_lhai hafan be gaifi gingjeo de isinjifi.,"Field Marshal Laita, with the troops of the eighth squadron, and Lieutenant-general Hife, at the head of the third squadron and of the rebel officials, arrived in Jingzhou. "
679,guwangsi meyen-i cooha be _a _i de bargiyafi ,they gathered the troops of the Guangxi squadron at Shashi
680,boo gaire de. beise burak_ ofi. cooha gemu maikan arafi. menggun tucibufi boo aranuha.,"At the moment of assigning billets, the Beise did not give [them] any. Because of this, all the troops had to set up their tents, and paid to build their houses."
681,bi inu boo araha.,I also built a house.
682,orin duide tui janggin ehene-i ilaci meyen. g_sai ejen lasai-i duici meyen- i cooha isinjifi.,"On the twenty-fourth the soldiers of the third squadron, under Major-general Ehene, and those of the fourth squadron, under Lieutenant-general Lasai, arrived. "
683,musei wang-ni baita-i turgunde. lasai. ehene. masitai. lio hiyan jung se g_sai janggisa be isabufi. boro-i sorson be gaifi. muse ilan inenggi gasame dobori duliha.,"Because of the matter concerning our Prince, Lasai, Ehene, Masitai, and Liu Xianzhong gathered the Banner officers, collected the hats’ tassels, and we mourned for three days holding night vigils."
684,orin nadan de muke olhon-i hafan cooha be cihangga be tuwame tuciburede. bi olhon be genembi seme anggalafi tucike.,"On the twenty-seventh, when they made officers and soldiers register whether [to go back] by land or water according to their preference, I requested to go by land and registered."
685,jak_n biyai ice juwe de g_sai ejen gargan sei sunja ci meyen-i cooha isinjiha.,On the second of the eighth month the soldiers of the fifth squadron under Lieutenant-general Gargan arrived.
686,juwan de tui janggin syge-i ningguci meyen-i cooha isinjiha.,On the tenth the soldiers of the sixth squadron under Major-general Sige arrived.
687,orin-i dobori,On the night of the twentieth
688,edelehe orho liyoo-i baharak_ jalin. amba jiyangiy_n-i tataha boo be. toome giye tiye bithe arafi. sirdan de huwaitafi gabtaha.,"because the overdue fodder and provisions had not yet been received, [someone] wrote a cursing letter of denunciation, fastened it to an arrow, and shot it at the house where the Field Marshal was staying."
689,musei coohai urse dahaha hulhai jiyangiy_n ho jin jung-ni tatan be gidanafi ,Some of our soldiers went to raid the tent of the surrendered rebel general He Jinzhong.
690,umai jaka baha ak_ elemangga koro baha.,"Not only did they not find anything at all, but, on the contrary, suffered injuries."
691,orin jak_n de olhon be emu nirui ilata bayara.ilata aliha cooha genembi. ,On the twenty-eighth three bayara guards and three cavalrymen from each company proceed by land
692,muke be emu nirui duite bayara. nadanta aliha cooha amala genembi.,four bayara guards and seven cavalrymen from each company proceed by water afterwards
693,muke olhon be generengge g_nin cihangga sonjokini.,Those going by water or land were to be selected according to personal preference.
694,orin uy_n de amba jiyangiy_n. geren k_waran-i da. janggisa be gaifi. jak_n ihan  be wafi.,"On the twenty-ninth the Field Marshal gathered the head of all camp commanders and officers, then killed eight cows"
695,tere boihon mutubume araha terkin de dobofi,he made offerings on top of a terrace made of stamped earth. 
696,tere tu de hengkileme burdeme wecefi. yali be umbuha,"he performed the sacrificial ceremony prostrating himself and blowing the conch in front of the standard, then buried the flesh."
697,cooha jurafi susai ba yabufi. wang sy po de ing iliha,"The army set off, after covering 50 li, and camped overnight in Wangsipo."
698,uy_n biyai ice de. ,On the first day of the ninth month
699,nadanju ba yabufi. lung bei sere kiyoo de ing iliha.,we covered 70 li and set up camp near a bridge called Lung Bei.
700,ice juwe de ninju ba yabufi ging men jeo de iliha.,On the second we covered 60 li and stopped at Jinmenzhou
701,ging men jeo julgei nan giyun.,Jinmenzhou is the Nanjun of old
702,ice ilade mi kiyoo i be muse dulefi,On the third we passed Shiqiaoyi
703,jak_nju ba yabufi ing iliha,set up camp after having covered 80 li
704,ice duide muse li i be dulefi. jak_nju ba yabufi ing iliha.,"On the fourth we passed Liyi, and camped after having covered 80 li."
705,amba jiyangiy_n. siyang yang giyang de. cuwan dendebume coohai jurgan-i janggin sabe unggirede. mimbe tucibuhe.,"When the Field Marshal dispatched various officials of the Board of War to the Xiangyang River in order to distribute the boats, he sent me."
706,bi tere dobori jurafi. susai ba yabufi. i ceng hiyan-i diyan fang de tataha.,"I left that same night, proceeded for 50 li, and then made a stop at an inn in Yicheng county."
707,ice sunja de. bi duici ging de jurafi. emu tangg_ orin ba yabufi. siyang yang fude isinjifi.,"On the fifth I left on the fourth hour, and after covering 120 li reached the Xiangyang Fu."
708,hiowande-i dilu morin-i fekuhe tan hi bira be tuwaci fahabi. ,"There I observed that the Tanhi river, over which Xuande jumped riding his dilu horse, had dried up. "
709,wehe be mini morin–i wahan forofi ejehebi.,The hoof of my horse carved the rock to make a record.
710,giyang-ni dalin de jifi. bi bai hafan de cuwan be baicame gaifi.,"Once I reached the bank of the river, at the local officials’, I inspected and requisitioned the boats."
711,bi beise meyen de orin ilan cuwan. amba jiyangiy_n meyen de orin juwe cuwan dendefi,"I assigned twenty-three boats to the Beise’s squadron, and twenty-two to the squadron of the Field Marshal. "
712,mini morin. aciha be cuwan de tebufi bira doofi,I loaded my horses and luggage on a boat and crossed the river
713,fan ceng-ni hoton-i dolo. bi boo baifi tataha,I found a house inside the city of Fancheng and lodged there.
714,jai inenggi amba cooha isinjifi. juwe inenggi bira dooha,"The next day the bulk of the army arrived, and it took two days to cross the river."
715,ice jak_n de muse jurafi lioi yang i be duleme. jak_nju ba yabufi iliha.,"On the eighth we set off and passed Liuyang village, then stopped after covering 80 li."
716,ereci julesi gurgu elgiyen,From there onwards beastes were plentiful.
717,ice uy_n de sin ye hiyan be duleme. uy_nju ba yabufi ing iliha,"On the ninth we passed Xinye county, and set up camp after covering 90 li."
718,juwan de muse wa diyan be duleme. nadanju ba yabufi nan yang fude ing iliha.,"On the tenth we passed Wadian, marched for 70 li, and set up camp in Nanyang Fu."
719,kungming-ni susu o lung k’ang de genefi,"went to Wolonggang, birthplace of Kong Ming"
720,tuwaci alin ajige alarame ba necin.,one can see low hills surrounded by plains.
721,muse jug’oliyang-ni miyoo de. boigon-i oren arahabi,Then we made an earthen statue inside the temple of Zhuge Liang.
722,ambasa cooha geme hengkilehe. tere de menggun buhe.,All the high officials and soldiers prostrated and made offerings of silver to it.
723,bi hengkilefi bei bithe be tuwaha.,I prostrated and then observed a stelae inscription.
724,juwan emu de nadanju ba yadufi bo wang i de ing iliha.,On the eleventh we covered 70 li and camped at Bowangyi.
725,g_lmah_n ulhuma elgiyen ,Hares and pheasants were abundant.
726,coohai urse balai niyamniyara de. juwan funceme uksin kutule gabtabuha.,"The rank and file soldiers were shooting arrows in a careless manner, and hit over ten armored soldiers and servants."
727,juwe uksin bucehe. be beidefi beye h_da bubuhe,Two armored soldiers died. We judged the case and a monetary compensation was paid for the bodies.
728,emu inenggi ududu morin gabtabumbi.,In a single day many horses were shot.
729,mini dolo geleme g_nime,In my heart I was frightened and pondered
730,bi juwan aniya afame yabufi funcehe. ergen dain de gaibuhak_,"I have served on a military campaign for ten years, and my life has not been taken by battle"
731,ere niyamniyame bahanarak_ coohai urse de guweke seme bi olho_ome.,I must be careful to avoid those soldiers who are incapable of shooting from horseback.
732,juwan juwede muse jak_nju ba yabufi. ioi jeo de ing iliha.,On the twelfth we set camp in Yuzhou after having covered 80 li.
733,juwan ilan de muse jak_nju sunja ba yabufi. boo an i be dulefi ing iliha,"On the thirteenth we proceeded for 85 li, passed Bao’anyi and then set up camp."
734,juwan duin de muse h_wang ho bira de cuwan dendeme. coohai jurgan-i janggin be unggirede.,On the fourteenth we distributed the boats at the Yellow River and sent the officers of the Board of War.
735,bi boo be ele kidume ofi. amba jiyangiy_n de anggalafi tesei emgi genehe.,"since I longed more and more for home, I submitted a request to the Field Marshal and to go with them."
736,bi yei hiyan be duleme. uy_nju ba yabufi. diyan fang de tataha,"I passed Ye county, covered 90 li, and then rested in an inn. "
737,tofohonde bi siyang ceng hiyan-i _i gu jen be duleme,On the fifteenth I passed Shiguzhen in Xiangcheng county
738,emu tangg_ dehi ba yabufi. muse irgen-i boode tataha.,"After proceeding for 140 li, we stopped at the house of local people."
739,juwan ninggude bi sin jeng hiyan. k’o diyan i be duleme,On the sixteenth I passed Guodianyi in Xinzheng county
740,jak_nju ba yabufi. diyan fang de tataha.,lodged at an inn after having covered 80 li.
741,juwan nadan de jeng jeo. hingje hiyan be duleme.,On the seventeenth I passed the Zhengzhou and Xingze counties
742,nadanju ba yabufi. h_wang ho birai dalin de isinafi,after covering 70 li reached the bank of the Yellow River
743,tubade bi maikan arafi tataha.,There I pitched my tent.
744,tuwaci birai muke fafi isheliyan. ,One could see that the river’s water had dried up and become narrow
745,eyen udu turgen seme. ambula olhocuka ba ak_.,"although the current was fast, there were no terribly frightening places."
746,bai hafan de bi cuwan be baicame gaifi.,At the local officials’ I inspected the boats and requisitioned them.
747,juwan jak_n de. bi beise meyen de morin-i cuwan dehi ninggun. amba jiyanggiyun-i meyen de. morin-i cuwan dehi duin dendefi.,On the eighteenth I assigned fourty-six boats for the transportation of horses to the Beise’s squadron and fourty-four boats for the transportation of horses to the Field Marshal’s squadron.
748,mini aciha morin be. cuwan de tebufi doofi. bi h_wang ho-i cargi dalin de maikan arafi tataha.,After loading my horse and luggage on a boat I crossed the Yellow River and pitched my tent on the opposite bank.
749,juwan uy_nde amba cooha isinjifi.,On the nineteenth the bulk of the army arrived.
750,tese h_wang ho bira be jurcenjeme doome. dartai wajifi.,They crossed the Yellow River coming and going in opposite direction and completed quickly.
751,muse orin sunja ba yabufi ing iliha,We proceeded for 25 li and set up camp.
752,orin de jak_nju muse sunja ba yabufi. sin hiyang hiyan de ing iliha.,On the twentieth we proceeded for 85 li and camped in Xinxiang county.
753,booci mancang. gurbu jetere jaka gajime mimbe okdoko.,From home Mancang and Gurbu came to greet me bringing foods.
754,bi dobori amgaci ojorak_ booi baita be fonjiha.,"I was not able to sleep at night, and asked about family affairs."
755,orin emude muse ninju ba yabufi. wei hui fude ing iliha.,On the twenty-first we proceeded for 60 li and set up camp in Weihuifu.
756,orin juwe de muse ki hiyan be duleme. jak_nju sunja ba yabufi.,"On the twenty-second we passed Qi county, covering 85 li"
757,bi jeo gurun-i cenghiyang bi g’an-i eifu be tuwanafi ,I went to see the tomb of Chengxiang Bigan of the kingdom of Zhou.
758,miyoo-i boigon-i oren de bi hengkilefi. ing iliha.,"After kneeling in front of the earthen statue of the temple, I set up the camp."
759,orin ilade muse i kio i be duleme ninju sunja ba yabufi. teng in hiyan de ing iliha.,"On the twenty-third we passed Yiqiu county and, after having covered 65 li, set up camp in Tengyin county."
760,orin duide muke ak_ seme. muse dehi ba yabufi,"On the twenty-fourth, because there was no water, we proceeded for 40 li "
761,muse jang de fude ing iliha.,We set up camp in Zhangde Fu.
762,orin sunjade nadanju ba yabufi. tsi jeo de ing iliha.,On the twenty-fifth we went on for 70 li and camped in Cizhou.
763,bi amba jiyangiy_n-i k_waran be ilibuha.,I erected the encampment of the Field Marshal.
764,orin ninggun de muse nadanju ba yabufi. han dan hiyan de ing iliha.,On the twenty-sixth we covered 70 li and camped in the Handan county.
765,orin nadan de muse nadanju ba yabufi. da liyang diyan de ing iliha.,On the twenty-seventh we covered 70 li and camped overnight in Daliandian.
766,orin jak_n de muse dehi ba yabufi _un de fude ing iliha.,On the twenty-eighth we covered 40 li and camped overnight in Shunde Fu.
767,orin uy_n de dehi muse sunja ba yabufi. fiyangg_ gung be acafi,"On the twenty-ninth, after covering 45 li, we met Duke Fiyanggu"
768,susai ba yabufi in dzun de iliha,"proceeded for 50 li, and stopped at Yincun"
769,dergici. beise de gocika morin juwe. amba jiyangiy_n de gocika morin juwe. mujan. gargan. hife sede morin emte. uheri janggin. cooha de amba adun-i morin ilan tangg_. temen g_sin okdoko.,"The emperor greeted by awarding two imperial horses each to the Beise and the Field Marshal, one regular horse each to Mujan, Gargan, Hife, and others, and a huge group of 300 horses and thirty camels from the imperial herd to officers and soldiers."
770,gemu morin ak_ niyalma de. h_sun gaisu seme,It was ordered to give the strong ones to the people without horses
771,mini beye dobori dulime baicafi. dendeme jak_n g_sa de buhe.,"I myself stayed up at night to supervise, and to distribute among the Eight Banners."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
